Data;ID_Veiculo;KM Percorridos;ValorAbastecimento;ValorManutencao;CustoFixo;CustoTotal
9/2020;2025;549;951.501;360.91450000000003;3715.982;5028.3975
9/2020;2035;414;160.17;82.87799999999999;441.59799999999996;684.646
9/2020;2045;421;716.9459999999999;340.4895;2830.2019999999998;3887.6375
9/2020;2055;238;1467.1135;573.382;4761.143499999999;6801.638999999999
9/2020;2065;448;252.8045;121.72349999999999;746.814;1121.3419999999999
9/2020;2075;383;378.28049999999996;196.612;1546.4955;2121.388
9/2020;2085;214;30.229;11.067499999999999;93.22349999999999;134.51999999999998
9/2020;2095;206;442.23449999999997;182.3905;1863.9379999999999;2488.5629999999996
9/2020;2105;301;100.282;35.416;241.243;376.941
9/2020;2115;414;1922.7904999999998;917.3675;6351.282;9191.44
9/2020;2125;621;1077.0625;452.85549999999995;2528.216;4058.134
9/2020;2135;280;710.733;257.56399999999996;2382.22;3350.517
9/2020;2145;766;258.6185;106.15299999999999;952.0995;1316.871
9/2020;2155;111;266.1615;103.51199999999999;778.3824999999999;1148.056
9/2020;2165;392;64.999;29.887;235.714;330.59999999999997
9/2020;2175;643;462.60249999999996;193.57199999999997;1369.0544999999997;2025.229
9/2020;2185;407;133.4655;61.36999999999999;446.063;640.8985
9/2020;2195;478;99.0945;49.0295;317.67999999999995;465.804
9/2020;2205;547;72.45649999999999;32.547;187.47299999999998;292.4765
9/2020;2215;541;298.3475;134.672;1005.5749999999999;1438.5945
9/2020;2225;207;54.2355;22.477;210.60549999999998;287.318
9/2020;2235;617;263.65349999999995;122.9395;690.27;1076.8629999999998
9/2020;2245;397;912.1044999999999;339.0645;3004.508;4255.677
9/2020;2255;307;124.96299999999998;65.816;317.9745;508.7535
9/2020;2265;848;789.659;353.12449999999995;2731.0505;3873.834
9/2020;2275;353;102.581;39.691;388.57849999999996;530.8504999999999
9/2020;2285;481;790.7325;335.67299999999994;2426.9175;3553.323
9/2020;2295;362;299.0505;138.1585;1182.0849999999998;1619.2939999999999
9/2020;2305;378;1670.4134999999999;757.511;5404.0845;7832.008999999999
9/2020;2315;254;793.3069999999999;354.749;2122.756;3270.812
9/2020;2325;560;606.898;252.72849999999997;1683.6564999999998;2543.283
9/2020;2335;285;5565.1855;2027.1574999999998;12817.1815;20409.5245
9/2020;2345;380;204.231;86.2885;857.793;1148.3125
9/2020;2355;677;438.24449999999996;199.6615;1054.1485;1692.0544999999997
9/2020;2365;387;523.868;218.158;1336.4695;2078.4955
9/2020;2375;240;100.206;38.969;258.457;397.632
