WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;31/08/2021;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
SP201711189641;Sudeste/SP*Franco da Rocha;01/08/2021;01/08/2021;04/08/2021;04/08/2021;2235;147.45;4841.68;10.74;0;254.66;13
SP201711789731;Sudeste/SP*São Paulo;01/08/2021;01/08/2021;07/08/2021;09/08/2021;2365;175.81;395.35;16.64;0;324.98;19
SP201711122958;Sudeste/SP*São Paulo;01/08/2021;01/08/2021;05/08/2021;05/08/2021;2855;166.04;1556.9;6.27;0;288.26;9
PR201710741121;Sul/PR*Londrina;01/08/2021;01/08/2021;10/08/2021;11/08/2021;5785;69.64;2513.15;5.28;0;126.39;13
SP201711503912;Sudeste/SP*São Paulo;01/08/2021;01/08/2021;07/08/2021;07/08/2021;2375;99.65;2951.83;5.67;0;170.05;10
MG201711187095;Sudeste/MG*Cataguases;01/08/2021;01/08/2021;07/08/2021;10/08/2021;4075;112.91;1709.54;3.36;0;211.04;17
RS201711185416;Sul/RS*Cachoeirinha;01/08/2021;01/08/2021;09/08/2021;12/08/2021;6235;152.57;3669.47;3.78;0;145.64;9
MG201711304462;Sudeste/MG*Cataguases;01/08/2021;01/08/2021;11/08/2021;13/08/2021;3555;63.7;1709.54;3.36;0;116.24;17
MG201711482655;Sudeste/MG*Belo Horizonte;01/08/2021;01/08/2021;10/08/2021;12/08/2021;3985;72.08;2248.6899999999996;13.23;0;126.02;19
RJ201711748894;Sudeste/RJ*Macaé;01/08/2021;01/08/2021;07/08/2021;07/08/2021;4495;68.48;3394.69;8.46;0;128.96;6
SP201711028180;Sudeste/SP*Campinas;01/08/2021;01/08/2021;04/08/2021;04/08/2021;3065;109.88;1875.25;6.38;0;195.17;18
SP201711501605;Sudeste/SP*São Paulo;01/08/2021;01/08/2021;11/08/2021;13/08/2021;2325;111.43;872.28;8.29;0;201.86;30
SP201711103353;Sudeste/SP*Bauru;01/08/2021;01/08/2021;05/08/2021;05/08/2021;2115;112.85;3611.79;5.32;0;204.06;8
