Data;ID_Veiculo;KM Percorridos;ValorAbastecimento;ValorManutencao;CustoFixo;CustoTotal
11/2023;2025;1044;237.765;108.83250000000001;991.6200000000001;1338.2175
11/2023;2035;1011;1826.9775;966.5699999999999;5671.7474999999995;8465.295
11/2023;2045;551;169.425;64.59;649.0575;883.0725
11/2023;2055;443;3212.58;1243.1475;12814.545000000002;17270.2725
11/2023;2065;475;4435.08;1864.7475;18118.11;24417.9375
11/2023;2075;706;397.4475;153.03750000000002;1208.2575;1758.7424999999998
11/2023;2085;850;345.65250000000003;145.32750000000001;1097.9625;1588.9425
11/2023;2095;540;972.9075;424.95000000000005;3594.5025;4992.36
11/2023;2105;436;159.6525;59.6475;431.445;650.745
11/2023;2115;59;309.3825;153.0675;881.8874999999999;1344.3375
11/2023;2125;608;154.1175;76.5975;485.7825;716.4975000000001
11/2023;2135;237;747.795;353.52;2176.41;3277.7250000000004
11/2023;2145;148;0.1575;0.09;0.72;0.9675
11/2023;2155;595;3165.8624999999997;1389.3375;7722.960000000001;12278.16
11/2023;2165;1112;1222.77;632.7225;5281.0199999999995;7136.512500000001
11/2023;2175;998;642.66;310.8375;2044.92;2998.4175
11/2023;2185;530;1731.795;767.1825;7002.8325;9501.81
11/2023;2195;489;199.1325;75.1575;527.7225;802.0124999999999
11/2023;2205;796;78.96000000000001;29.805;258.69;367.455
11/2023;2215;1057;529.26;249.06;2115.06;2893.38
11/2023;2225;472;43.964999999999996;22.755;150.60000000000002;217.32
11/2023;2235;228;1309.875;591.2475000000001;3825.1425;5726.265
11/2023;2245;482;620.5875000000001;253.47750000000002;1832.0249999999999;2706.09
11/2023;2255;805;738.645;300.24;2568.3675;3607.2525
11/2023;2265;428;872.5049999999999;461.6025;2392.44;3726.5474999999997
11/2023;2275;525;454.0575;168.78750000000002;1625.6999999999998;2248.545
11/2023;2285;1043;1637.7749999999999;581.4300000000001;5486.3775000000005;7705.5825
11/2023;2295;468;294.1725;121.91250000000001;952.6125000000001;1368.6975
11/2023;2305;619;831.645;334.76250000000005;1952.3249999999998;3118.7325
11/2023;2315;645;305.8125;134.8425;953.8275;1394.4825
11/2023;2325;557;1486.4025;607.125;3870.945;5964.4725
11/2023;2335;458;269.0775;110.4375;767.0550000000001;1146.57
11/2023;2345;801;867.1949999999999;458.79;2326.86;3652.8450000000003
11/2023;2355;1360;1438.9275;771.405;3828.8175;6039.15
11/2023;2365;447;136.6125;64.5825;433.4925;634.6875
11/2023;2375;334;201.285;82.215;586.14;869.64
11/2023;2385;577;600.36;307.8975;1586.955;2495.2124999999996
11/2023;2395;464;206.715;73.38749999999999;506.6925;786.795
11/2023;2405;434;2961.5099999999998;1157.415;9656.7525;13775.6775
11/2023;2415;1130;2003.1000000000001;729.645;5970.262500000001;8703.0075
11/2023;2425;711;153.27;68.22;437.71500000000003;659.205
11/2023;2435;560;197.6175;90.0375;732.39;1020.045
11/2023;2445;259;2376.3525;1224.18;6318.299999999999;9918.8325
11/2023;2455;830;493.65000000000003;225.9525;1461.0;2180.6025
11/2023;2465;672;609.075;217.35000000000002;2376.7725;3203.1975
11/2023;2475;510;742.875;281.78249999999997;1911.3000000000002;2935.95
11/2023;2485;873;1020.8325;528.2249999999999;3614.4750000000004;5163.5325
11/2023;2495;1072;439.78499999999997;206.01;1478.52;2124.315
11/2023;2505;1100;1626.4125000000001;860.4525;4598.2275;7085.092500000001
11/2023;2515;349;325.78499999999997;123.57;950.5049999999999;1399.8600000000001
11/2023;2525;281;108.495;40.335;311.9475;460.77750000000003
11/2023;2535;139;71.27250000000001;36.2325;264.47249999999997;371.9775
11/2023;2545;864;1241.0625;473.115;3727.665;5441.8425
11/2023;2555;591;294.18;127.8825;1101.6374999999998;1523.6999999999998
11/2023;2565;908;2362.4775;1122.0;6979.41;10463.8875
11/2023;2575;1109;8595.772500000001;3260.4674999999997;22213.41;34069.649999999994
11/2023;2585;690;911.9775;342.46500000000003;2690.3475;3944.79
11/2023;2595;1111;10460.865;5269.755;28958.6475;44689.2675
11/2023;2605;223;398.15999999999997;206.9475;1340.58;1945.6875
11/2023;2615;843;1262.9175;636.21;5057.385;6956.512500000001
11/2023;2625;810;279.75;113.1525;745.95;1138.8525
11/2023;2635;544;186.4425;78.77250000000001;467.43;732.645
11/2023;2645;710;1902.8925;1020.1425;5287.7474999999995;8210.7825
11/2023;2655;556;447.62250000000006;197.36249999999998;1602.3525;2247.3374999999996
11/2023;2665;474;2565.2400000000002;953.61;9810.119999999999;13328.97
11/2023;2675;573;214.635;86.4;639.6975;940.7325
11/2023;2685;723;297.96;137.01749999999998;907.5525;1342.53
11/2023;2695;783;548.4825;275.0625;1384.3425;2207.8875
11/2023;2705;943;570.3824999999999;263.505;1693.0425;2526.93
11/2023;2715;722;446.115;191.19;1270.7925;1908.0975
11/2023;2725;716;602.0250000000001;236.4525;1570.9425;2409.42
11/2023;2735;795;1828.47;728.8275;4410.825000000001;6968.1224999999995
11/2023;2745;373;395.87250000000006;181.2;1529.025;2106.0975
11/2023;2755;383;156.5625;82.4625;501.0;740.0250000000001
11/2023;2765;900;191.9775;80.7225;548.6850000000001;821.385
11/2023;2775;726;1067.5049999999999;521.04;2861.1675;4449.7125
11/2023;2785;405;139.575;74.8275;379.515;593.9175
11/2023;2795;670;613.95;269.43;2249.1675;3132.5474999999997
11/2023;2805;473;1910.5874999999999;799.4625000000001;5920.6875;8630.7375
11/2023;2815;317;39.135;18.6675;122.82750000000001;180.63
11/2023;2825;1116;1659.6374999999998;714.66;4095.18;6469.477499999999
11/2023;2835;689;217.065;88.6575;720.1875;1025.91
11/2023;2845;659;1015.4024999999999;381.29999999999995;2327.835;3724.5375000000004
11/2023;2855;916;171.92249999999999;82.4025;607.785;862.11
11/2023;2865;505;605.3175;306.3075;2029.1025;2940.7275
11/2023;2875;425;717.45;266.7075;2647.41;3631.5675
11/2023;2885;827;940.77;378.6825;2882.625;4202.0775
11/2023;2895;1134;1339.2225;677.6775;4937.924999999999;6954.825000000001
11/2023;2905;1273;868.635;408.7725;3401.7300000000005;4679.137500000001
11/2023;2915;287;85.71000000000001;33.33;251.805;370.84499999999997
11/2023;2925;486;886.6725;338.01;2149.0950000000003;3373.7775
11/2023;2935;741;712.545;301.02750000000003;1794.1125000000002;2807.685
11/2023;2945;477;601.95;315.65250000000003;1535.8799999999999;2453.4825
11/2023;2955;185;194.745;92.0625;480.06000000000006;766.8675000000001
11/2023;2965;885;335.82;137.1675;870.7275;1343.715
11/2023;2975;686;375.5175;132.6225;1094.8274999999999;1602.9675
11/2023;2985;364;220.90500000000003;79.23750000000001;799.29;1099.4325000000001
11/2023;2995;391;551.145;256.98749999999995;1968.9675;2777.1000000000004
11/2023;3005;584;3707.49;1720.755;10215.119999999999;15643.365
11/2023;3015;373;74.97749999999999;26.895;302.3925;404.265
11/2023;3025;323;162.4575;63.495;527.235;753.1875
11/2023;3035;372;105.29249999999999;48.644999999999996;424.76250000000005;578.7
11/2023;3045;588;492.33000000000004;230.625;1415.97;2138.925
11/2023;3055;677;274.5375;142.6875;1094.46;1511.685
11/2023;3065;710;166.72500000000002;87.4275;560.4449999999999;814.5975000000001
