WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;30/09/2022;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
RJ201813601583;Sudeste/RJ*São Gonçalo;01/09/2022;01/09/2022;05/09/2022;05/09/2022;5085;128.26;5327.03;7.15;0;217.39;9
SP201811902297;Sudeste/SP*Guarulhos;01/09/2022;01/09/2022;04/09/2022;04/09/2022;3445;212.93;901.08;5.825;0;333.02;30
SP201811564091;Sudeste/SP*Jacareí;01/09/2022;01/09/2022;06/09/2022;06/09/2022;2665;130.75;2690.72;3.0749999999999997;0;205.22;18
SP201813281177;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;09/09/2022;11/09/2022;2395;208.52;3956.7200000000003;5.41;0;320.93;29
SP201812325421;Sudeste/SP*Jacareí;01/09/2022;01/09/2022;11/09/2022;14/09/2022;3355;175.54;1651.34;6.21;0;264.09;5
SP201813289282;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;09/09/2022;10/09/2022;2225;205.34;2093.44;9.22;0;335.64;34
RJ201814422671;Sudeste/RJ*Campos dos Goytacazes;01/09/2022;01/09/2022;09/09/2022;12/09/2022;4935;153.39;732.63;10.67;0;289.41;6
RS201813847488;Sul/RS*Porto Alegre;01/09/2022;01/09/2022;03/09/2022;03/09/2022;6255;144.94;5559.2;11.66;0;248.19;17
SP201811621388;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;03/09/2022;03/09/2022;3435;86.57;4483.76;2.86;0;139.93;3
SP201812186736;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;04/09/2022;04/09/2022;3375;68.36;3701.71;5.31;0;102.67;8
SP201813509529;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;03/09/2022;03/09/2022;3115;94.81;1703.97;5.58;0;141.41;17
PR201811923573;Sul/PR*Laranjeiras do Sul;01/09/2022;01/09/2022;05/09/2022;05/09/2022;5745;60.11;3284.55;4.7;0;104.35;3
SP201813408993;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;08/09/2022;08/09/2022;3305;66.03;2572.37;3.71;0;105.93;15
SP201813946857;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;11/09/2022;13/09/2022;3035;72.84;3078.28;8.83;0;111.71;4
SP201811528707;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;08/09/2022;08/09/2022;3425;84.52;2328.16;10.36;0;133.39;19
MG201812466532;Sudeste/MG*Governador Valadares;01/09/2022;01/09/2022;08/09/2022;08/09/2022;3595;99.96;3273.53;4.95;0;137.55;14
RJ201814663109;Sudeste/RJ*São Gonçalo;01/09/2022;01/09/2022;05/09/2022;05/09/2022;4365;78.92;5327.03;7.15;0;138.94;21
MG201811687238;Sudeste/MG*Belo Horizonte;01/09/2022;01/09/2022;05/09/2022;05/09/2022;3545;114.74;4663.48;8.21;0;156.22;12
SP201813267464;Sudeste/SP*São Paulo;01/09/2022;01/09/2022;04/09/2022;04/09/2022;2075;103.88;4949.13;15.52;13;159.03;10
