WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;30/09/2023;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
RJ201913984613;Sudeste/RJ*Rio de Janeiro;01/09/2023;01/09/2023;08/09/2023;08/09/2023;4615;148.37;2138.8;4.45;0;259.39;36
SP201913264879;Sudeste/SP*Mauá;01/09/2023;01/09/2023;08/09/2023;08/09/2023;2175;142.66;2273.87;3.8;0;224.31;27
SP201914528797;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;06/09/2023;06/09/2023;2835;162.41;2721.45;11.48;0;230.96;35
RJ201915385542;Sudeste/RJ*Rio de Janeiro;01/09/2023;01/09/2023;10/09/2023;12/09/2023;4335;157.08;1821.12;13.51;0;282.51;28
SP201914701274;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;11/09/2023;12/09/2023;2865;240.5;6426.02;6.92;0;346.14;21
SP201914545748;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;02/09/2023;02/09/2023;2735;161.33;2907.38;4.93;0;240.51;29
RJ201915147135;Sudeste/RJ*Petrópolis;01/09/2023;01/09/2023;02/09/2023;02/09/2023;4925;79.61;3755.48;6.83;0;137.73;21
RJ201915784827;Sudeste/RJ*Campos dos Goytacazes;01/09/2023;01/09/2023;10/09/2023;13/09/2023;4715;94.13;2911.49;12.28;0;173.36;23
SP201915027518;Sudeste/SP*Avaré;01/09/2023;01/09/2023;09/09/2023;10/09/2023;2745;199.1;2121.86;3.63;0;313.05;41
RJ201913943088;Sudeste/RJ*Campos dos Goytacazes;01/09/2023;01/09/2023;10/09/2023;11/09/2023;4715;200.16;2911.49;12.28;0;346.3;52
RJ201913963867;Sudeste/RJ*Rio de Janeiro;01/09/2023;01/09/2023;07/09/2023;07/09/2023;4335;114.26;1821.12;13.51;0;204.77;18
SP201915504869;Sudeste/SP*Itu;01/09/2023;01/09/2023;08/09/2023;08/09/2023;2115;164.75;2427.23;5.85;0;254.71;38
SP201916144820;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;05/09/2023;05/09/2023;2185;108.4;1874.0;4.77;0;156.01;8
SP201914609752;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;06/09/2023;06/09/2023;3185;247.66;1632.82;5.33;0;350.4;53
SP201913063574;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;03/09/2023;03/09/2023;2035;213.59;2399.08;4.26;0;320.13;16
SP201913623751;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;05/09/2023;05/09/2023;3455;214.9;3005.79;8.73;0;305.6;6
SP201915821119;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;09/09/2023;10/09/2023;2715;215.86;2746.23;11.39;0;317.26;6
RJ201913866055;Sudeste/RJ*Macaé;01/09/2023;01/09/2023;06/09/2023;06/09/2023;5105;175.84;3064.19;3.25;0;326.84;20
MG201915423442;Sudeste/MG*Barbacena;01/09/2023;01/09/2023;09/09/2023;09/09/2023;3715;152.77;1252.21;6.02;0;252.05;33
SP201913928851;Sudeste/SP*São José dos Campos;01/09/2023;01/09/2023;02/09/2023;02/09/2023;2565;141.89;1884.95;5.28;0;204.57;16
SP201916002887;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;02/09/2023;02/09/2023;3345;69.29;3671.49;18.17;0;104.22;7
RS201915322250;Sul/RS*Porto Alegre;01/09/2023;01/09/2023;11/09/2023;13/09/2023;6705;115.46;1978.67;6.85;0;116.41;17
SP201915842221;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;06/09/2023;06/09/2023;3255;79.83;3973.15;6.24;0;119.43;6
PR201914349288;Sul/PR*Maringá;01/09/2023;01/09/2023;11/09/2023;14/09/2023;5255;73.79;2373.62;4.7250000000000005;0;131.53;12
SP201916024571;Sudeste/SP*São Paulo;01/09/2023;01/09/2023;08/09/2023;08/09/2023;2785;96.25;2868.06;5.03;0;135.94;15
RJ201913362706;Sudeste/RJ*Rio de Janeiro;01/09/2023;01/09/2023;06/09/2023;06/09/2023;4875;79.41;2138.8;4.45;0;139.08;13
RJ201912643459;Sudeste/RJ*Rio de Janeiro;01/09/2023;01/09/2023;02/09/2023;02/09/2023;4615;76.61;1061.3600000000001;3.7750000000000004;0;142.4;7
