Data;ID_Veiculo;KM Percorridos;ValorAbastecimento;ValorManutencao;CustoFixo;CustoTotal
06/2021;2025;168;1035.99;543.2625;3482.445;5061.6975
06/2021;2035;360;520.86;220.04999999999998;2086.9875;2827.8975
06/2021;2045;303;380.15999999999997;192.375;1563.8025000000002;2136.3374999999996
06/2021;2055;438;419.34749999999997;203.7525;1532.9475;2156.0475
06/2021;2065;997;1232.6025;604.365;3308.6099999999997;5145.5775
06/2021;2075;564;1015.7774999999999;379.5225;2335.44;3730.74
06/2021;2085;773;176.415;64.26;543.2775;783.9525
06/2021;2095;938;336.555;125.115;1022.7975;1484.4675
06/2021;2105;379;429.87749999999994;154.9875;1048.8375;1633.7024999999999
06/2021;2115;301;328.6275;146.95499999999998;974.3625000000001;1449.945
06/2021;2125;537;1429.185;710.3175;4484.3550000000005;6623.8575
06/2021;2135;585;455.8425;165.195;1189.5674999999999;1810.605
06/2021;2145;356;164.48250000000002;61.14;603.87;829.4925000000001
06/2021;2155;931;891.8399999999999;415.845;2334.8999999999996;3642.585
06/2021;2165;444;6757.282499999999;3313.185;17519.857500000002;27590.324999999997
06/2021;2175;499;534.075;271.4625;2177.925;2983.4624999999996
06/2021;2185;310;303.12;109.28999999999999;1155.6750000000002;1568.085
06/2021;2195;501;312.165;136.35000000000002;1263.3825;1711.8975
06/2021;2205;621;243.41250000000002;127.08;790.9275;1161.42
06/2021;2215;400;924.7874999999999;347.2725;2912.34;4184.4
06/2021;2225;317;97.74;47.28;264.63750000000005;409.6575
06/2021;2235;622;334.8825;127.0275;1307.8575;1769.7675
06/2021;2245;257;2059.3725;1065.6225;5677.799999999999;8802.795
06/2021;2255;422;237.21750000000003;112.6575;936.435;1286.31
06/2021;2265;186;227.07;88.7475;736.9124999999999;1052.73
06/2021;2275;552;635.3625;305.90999999999997;1876.905;2818.1775000000002
06/2021;2285;441;129.69;67.4025;530.1899999999999;727.2825
06/2021;2295;391;336.9;123.345;1038.93;1499.1750000000002
06/2021;2305;377;326.37;134.6025;1375.5674999999999;1836.54
06/2021;2315;323;236.64;83.5725;569.265;889.4775
06/2021;2325;317;567.5625;270.7875;1874.745;2713.0950000000003
06/2021;2335;382;2863.065;1203.7875;6720.555;10787.4075
06/2021;2345;175;121.4325;44.01;407.0325;572.4749999999999
06/2021;2355;826;1213.5674999999999;498.09000000000003;4467.6075;6179.265
06/2021;2365;445;678.9525;264.0375;1985.5500000000002;2928.54
06/2021;2375;631;1091.1;501.75;3957.1499999999996;5550.0
06/2021;2385;336;460.02750000000003;192.495;1361.43;2013.9524999999999
06/2021;2395;745;881.145;405.2025;2945.055;4231.4025
06/2021;2405;268;293.055;144.9975;939.4725000000001;1377.525
06/2021;2415;838;448.79999999999995;201.63750000000002;1161.375;1811.8125
06/2021;2425;264;25.432499999999997;11.4825;85.7325;122.64750000000001
06/2021;2435;329;990.0899999999999;410.32500000000005;3844.5975;5245.012500000001
06/2021;2445;256;677.6775;315.9825;1774.1999999999998;2767.86
06/2021;2455;352;48.5025;18.03;159.7575;226.29000000000002
06/2021;2465;454;951.0749999999999;500.9475;2420.04;3872.0625
06/2021;2475;163;20.174999999999997;9.022499999999999;69.78;98.97749999999999
06/2021;2485;602;668.04;258.51;2530.7250000000004;3457.2749999999996
06/2021;2495;522;240.2775;102.0;737.46;1079.7375000000002
06/2021;2505;532;1537.2749999999999;710.205;6076.5225;8324.0025
06/2021;2515;497;411.9675;186.8175;1332.7725;1931.5575
06/2021;2525;582;815.4300000000001;364.6425;2181.96;3362.0325000000003
06/2021;2535;477;195.51749999999998;81.42;542.415;819.3525
06/2021;2545;306;844.4325000000001;307.59000000000003;1944.81;3096.8324999999995
06/2021;2555;377;103.41749999999999;43.6875;434.34000000000003;581.4449999999999
06/2021;2565;329;1406.3025;640.7175;3382.7475;5429.7675
06/2021;2575;266;1776.8625000000002;739.9425;4533.075000000001;7049.88
06/2021;2585;725;315.915;122.8575;814.8675000000001;1253.6399999999999
06/2021;2595;560;458.90999999999997;216.9525;1121.6399999999999;1797.5025
06/2021;2605;308;240.6525;103.14000000000001;664.395;1008.1875
06/2021;2615;412;414.5625;218.36249999999998;1694.0175;2326.9425
06/2021;2625;251;296.84250000000003;112.5975;763.74;1173.18
06/2021;2635;418;309.0825;126.85499999999999;781.7624999999999;1217.6999999999998
06/2021;2645;1046;2385.1125;1278.6525;8798.01;12461.775000000001
06/2021;2655;403;483.33750000000003;211.1175;1776.9225000000001;2471.3775
06/2021;2665;450;1248.9225000000001;652.0275;3307.1400000000003;5208.09
06/2021;2675;554;370.245;177.4575;1625.7225;2173.425
06/2021;2685;333;473.66999999999996;174.3075;1625.6399999999999;2273.6175
06/2021;2695;441;433.8525;197.66250000000002;1341.96;1973.4750000000001
06/2021;2705;803;1641.9675;790.5749999999999;4106.5575;6539.099999999999
06/2021;2715;397;483.8175;221.4525;1425.465;2130.735
06/2021;2725;366;68.3925;31.740000000000002;277.71750000000003;377.85
06/2021;2735;26;7.6274999999999995;2.7075;25.4175;35.7525
06/2021;2745;645;2070.9075000000003;870.72;6367.3125;9308.94
06/2021;2755;473;1741.9425;764.4449999999999;5961.135;8467.522500000001
06/2021;2765;408;994.8225;474.63750000000005;4139.1525;5608.612499999999
06/2021;2775;686;7413.1425;3701.01;22565.1;33679.2525
06/2021;2785;710;495.585;230.01749999999998;1725.75;2451.3525
06/2021;2795;602;887.145;324.8025;2342.1525;3554.1000000000004
