Data;ID_Veiculo;KM Percorridos;ValorAbastecimento;ValorManutencao;CustoFixo;CustoTotal
09/2021;2025;757;243.84;102.03;668.4225;1014.2925
09/2021;2035;720;148.73250000000002;74.25;473.835;696.8175
09/2021;2045;443;1964.655;903.4499999999999;6724.2075;9592.3125
09/2021;2055;523;179.48250000000002;90.82499999999999;624.7574999999999;895.065
09/2021;2065;462;290.28000000000003;104.1225;1164.4875000000002;1558.8899999999999
09/2021;2075;211;64.69500000000001;29.6175;233.1525;327.46500000000003
09/2021;2085;479;105.5925;45.9075;355.1925;506.6925
09/2021;2095;659;473.865;251.805;1353.6075;2079.2775
09/2021;2105;603;775.635;282.525;2228.0625;3286.2225
09/2021;2115;249;1306.665;523.395;3142.935;4972.995
09/2021;2125;242;975.7574999999999;366.4125;2355.2775;3697.4475
09/2021;2135;694;97.27499999999999;45.7725;382.86;525.9075
09/2021;2145;561;1427.7825;597.4425;3828.0299999999997;5853.255
09/2021;2155;554;351.3525;143.5125;964.905;1459.77
09/2021;2165;538;227.02499999999998;115.91250000000001;819.5625;1162.5
09/2021;2175;557;411.89250000000004;162.57;1182.2925;1756.755
09/2021;2185;699;509.88;192.435;1216.5825;1918.8975
09/2021;2195;298;443.5425;191.9025;1244.5725;1880.0175
09/2021;2205;271;123.35249999999999;61.035;307.3125;491.70000000000005
09/2021;2215;359;122.0025;46.275000000000006;494.235;662.5125
09/2021;2225;349;1602.255;840.2025;6038.2875;8480.744999999999
09/2021;2235;657;197.88750000000002;92.69999999999999;867.1425;1157.73
09/2021;2245;435;41.0925;15.434999999999999;108.76500000000001;165.2925
09/2021;2255;462;1113.1200000000001;560.745;3337.7174999999997;5011.5824999999995
09/2021;2265;320;208.84499999999997;101.94;823.4775;1134.2624999999998
09/2021;2275;867;3569.2275;1656.5774999999999;9747.8475;14973.6525
09/2021;2285;496;174.33749999999998;88.215;474.96;737.5125
09/2021;2295;462;269.835;124.08749999999999;1103.8874999999998;1497.81
09/2021;2305;682;229.62;107.0625;702.465;1039.1475
09/2021;2315;714;628.2825;302.505;1968.855;2899.6425
09/2021;2325;366;521.115;205.6875;2112.2625;2839.065
09/2021;2335;633;360.165;137.3025;1086.8249999999998;1584.2925
09/2021;2345;593;155.79;76.0425;543.5250000000001;775.3575
09/2021;2355;178;138.075;71.13;514.6875;723.8925
09/2021;2365;602;2925.165;1289.7675;10522.605;14737.537499999999
09/2021;2375;316;51.5775;27.525000000000002;130.71;209.8125
09/2021;2385;658;932.955;443.085;3999.12;5375.16
09/2021;2395;622;203.40749999999997;104.32499999999999;746.1525;1053.885
09/2021;2405;576;109.1175;41.1825;325.34250000000003;475.64250000000004
09/2021;2415;676;807.4950000000001;295.6425;1862.295;2965.4325
09/2021;2425;450;2575.9875;1234.65;6774.4725;10585.11
09/2021;2435;404;919.9950000000001;386.8125;2689.5375000000004;3996.3450000000003
09/2021;2445;627;809.8275;420.915;2316.0675;3546.81
09/2021;2455;404;129.95250000000001;56.489999999999995;344.73749999999995;531.1800000000001
09/2021;2465;331;215.865;82.28999999999999;844.1999999999999;1142.355
09/2021;2475;576;320.59499999999997;138.0525;1252.71;1711.3575
09/2021;2485;495;822.0899999999999;308.7075;2027.8650000000002;3158.6625000000004
09/2021;2495;243;27.9225;11.52;66.015;105.45750000000001
09/2021;2505;699;369.26250000000005;176.175;1164.3899999999999;1709.8274999999999
09/2021;2515;609;172.89000000000001;90.66;542.415;805.9649999999999
09/2021;2525;796;497.95500000000004;261.12;1447.53;2206.605
09/2021;2535;672;242.3475;117.2175;1056.06;1415.625
09/2021;2545;553;439.27500000000003;168.2925;1047.9375;1655.505
09/2021;2555;273;87.74249999999999;33.787499999999994;257.07;378.6
09/2021;2565;679;656.7075;247.84499999999997;2670.7575;3575.31
09/2021;2575;459;495.60749999999996;233.22750000000002;1290.09;2018.9250000000002
09/2021;2585;163;38.8875;15.044999999999998;125.8425;179.77499999999998
09/2021;2595;833;313.395;148.16250000000002;912.135;1373.6924999999999
09/2021;2605;222;674.955;324.9825;1785.3975;2785.335
09/2021;2615;682;139.6575;68.475;601.7249999999999;809.8575
09/2021;2625;536;176.4675;62.97;681.4725;920.9100000000001
09/2021;2635;596;371.8725;182.3325;1537.1399999999999;2091.3450000000003
09/2021;2645;493;1788.1275;900.7874999999999;7693.005;10381.92
09/2021;2655;643;2303.3175;1160.3174999999999;6634.424999999999;10098.06
09/2021;2665;501;1283.1825000000001;453.195;2893.965;4630.3425
09/2021;2675;465;663.0074999999999;344.6025;2232.3;3239.91
09/2021;2685;406;996.06;475.23;2661.5475;4132.8375
09/2021;2695;299;75.0375;35.474999999999994;324.585;435.09749999999997
09/2021;2705;85;43.8675;16.98;109.125;169.9725
09/2021;2715;900;774.0749999999999;389.9475;2768.4900000000002;3932.5125000000003
09/2021;2725;999;1492.605;621.5699999999999;3824.5125000000003;5938.6875
09/2021;2735;506;71.22;29.947499999999998;248.895;350.0625
09/2021;2745;848;238.4175;123.92249999999999;1075.53;1437.8700000000001
09/2021;2755;336;76.125;36.825;272.53499999999997;385.485
09/2021;2765;359;189.27;80.73;690.8475;960.8475000000001
09/2021;2775;451;4668.0525;1851.5774999999999;13418.07;19937.699999999997
09/2021;2785;614;149.46;75.9675;560.0250000000001;785.4525
09/2021;2795;642;3268.0874999999996;1283.565;7918.62;12470.2725
09/2021;2805;415;631.2375;331.02;1748.3175;2710.575
09/2021;2815;407;328.65749999999997;162.60750000000002;1034.4;1525.665
09/2021;2825;493;613.3199999999999;313.14;1889.535;2815.995
09/2021;2835;808;320.7675;121.0575;1231.7475;1673.5724999999998
09/2021;2845;948;367.305;154.4325;1403.49;1925.2275
09/2021;2855;58;5.9475;2.1225;23.3175;31.387500000000003
09/2021;2865;513;731.79;273.42;2936.7975;3942.0075
09/2021;2875;477;123.53999999999999;44.085;472.1775;639.8025
