WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;31/03/2020;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
RJ202011709917;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;09/03/2020;12/03/2020;4635;110.86;1070.58;0.58;0;197.96;4
RS202011409044;Sul/RS*Porto Alegre;01/03/2020;01/03/2020;05/03/2020;05/03/2020;6095;77.4;5712.12;7.97;0;144.67;22
RJ202011947052;Sudeste/RJ*Campos dos Goytacazes;01/03/2020;01/03/2020;06/03/2020;06/03/2020;4385;132.95;4000.95;4.515;0;234.06;12
RJ202012403485;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;08/03/2020;08/03/2020;4695;198.1;1988.0600000000002;5.49;0;341.55;34
SP202012309926;Sudeste/SP*Mogi-Guaçu;01/03/2020;01/03/2020;03/03/2020;03/03/2020;3005;154.84;3470.15;3.14;0;268.35;38
SP202012324327;Sudeste/SP*São José do Rio Preto;01/03/2020;01/03/2020;09/03/2020;12/03/2020;3115;56.98;2872.26;11.09;0;103.78;16
RJ202011947052;Sudeste/RJ*Campos dos Goytacazes;01/03/2020;01/03/2020;06/03/2020;06/03/2020;4385;130.86;4000.95;4.515;0;245.06;5
RS202011443503;Sul/RS*Santa Cruz do Sul;01/03/2020;01/03/2020;10/03/2020;12/03/2020;6345;154.31;2607.64;23.07;0;261.54;37
RJ202012341732;Sudeste/RJ*Duque de Caxias;01/03/2020;01/03/2020;08/03/2020;08/03/2020;4835;73.42;2972.11;6.13;0;133.74;11
SP202011565489;Sudeste/SP*São Paulo;01/03/2020;01/03/2020;08/03/2020;08/03/2020;2515;112.18;1318.52;8.8;0;197.16;12
RJ202011543844;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;06/03/2020;06/03/2020;4875;111.16;1290.42;7.88;0;202.85;22
RJ202012307289;Sudeste/RJ*Queimados;01/03/2020;01/03/2020;07/03/2020;07/03/2020;4535;118.62;3597.75;19.38;0;203.47;22
RJ202011709917;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;09/03/2020;12/03/2020;4635;125.97;1070.58;0.58;0;223.74;31
SC202012243140;Sul/SC*Blumenau;01/03/2020;01/03/2020;09/03/2020;12/03/2020;6905;133.21;2734.81;3.79;0;238.72;36
SP202012224817;Sudeste/SP*Marília;01/03/2020;01/03/2020;05/03/2020;05/03/2020;3195;152.27;1356.62;4.305000000000001;0;262.08;24
RJ202012063728;Sudeste/RJ*Campos dos Goytacazes;01/03/2020;01/03/2020;09/03/2020;12/03/2020;4945;155.63;4000.95;4.515;0;266.95;37
RJ202011446812;Sudeste/RJ*Queimados;01/03/2020;01/03/2020;04/03/2020;04/03/2020;5015;154.05;3597.75;19.38;0;277.06;17
MG202011422906;Sudeste/MG*Varginha;01/03/2020;01/03/2020;08/03/2020;08/03/2020;3795;175.12;3372.45;4.06;0;307.76;46
RJ202011849276;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;03/03/2020;03/03/2020;4375;178.94;1988.0600000000002;5.49;0;327.73;33
RJ202011682128;Sudeste/RJ*Duque de Caxias;01/03/2020;01/03/2020;07/03/2020;07/03/2020;4425;202.14;2972.11;6.13;0;347.32;52
RJ202011446812;Sudeste/RJ*Queimados;01/03/2020;01/03/2020;04/03/2020;04/03/2020;5015;216.4;3597.75;19.38;0;379.65;23
RJ202012342377;Sudeste/RJ*Niterói;01/03/2020;01/03/2020;08/03/2020;08/03/2020;4575;214.02;3236.14;14.19;0;392.7;43
RJ202012261502;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;02/03/2020;02/03/2020;4575;249.24;1290.42;7.88;0;423.88;25
RJ202011608883;Sudeste/RJ*Rio de Janeiro;01/03/2020;01/03/2020;08/03/2020;08/03/2020;4465;232.2;1070.58;0.58;0;427.63;13
