WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;31/01/2020;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
RS202011546392;Sul/RS*Santa Maria;01/01/2020;01/01/2020;03/01/2020;03/01/2020;6255;79.47;3386.86;2.9899999999999998;0;148.82;3
RJ202011707898;Sudeste/RJ*Mesquita;01/01/2020;01/01/2020;05/01/2020;05/01/2020;5085;142.94;3776.15;5.04;0;247.73;17
SP202011665259;Sudeste/SP*Itapira;01/01/2020;01/01/2020;10/01/2020;11/01/2020;3265;86.46;2688.82;4.18;0;156.06;11
SP202011727868;Sudeste/SP*Itapetininga;01/01/2020;01/01/2020;03/01/2020;03/01/2020;3265;160.34;1468.55;4.08;0;283.28;6
RJ202011521204;Sudeste/RJ*Mesquita;01/01/2020;01/01/2020;08/01/2020;08/01/2020;4835;160.82;3776.15;5.04;4;273.51;41
RJ202012204814;Sudeste/RJ*Duque de Caxias;01/01/2020;01/01/2020;06/01/2020;06/01/2020;4825;111.22;2053.59;7.93;0;206.34;12
SP202011448949;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;09/01/2020;12/01/2020;2955;160.4;3247.16;14.5;0;292.7;20
SP202012406854;Sudeste/SP*Bauru;01/01/2020;01/01/2020;08/01/2020;08/01/2020;2895;63.0;2663.82;10.58;0;115.18;9
MG202011542090;Sudeste/MG*Juiz de Fora;01/01/2020;01/01/2020;02/01/2020;02/01/2020;3765;176.22;2963.47;8.5;0;309.15;34
SP202011982712;Sudeste/SP*Itapevi;01/01/2020;01/01/2020;08/01/2020;08/01/2020;2575;85.68;2451.82;2.23;0;149.01;9
SP202011581844;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;06/01/2020;06/01/2020;2395;70.14;2010.92;4.22;0;125.93;9
RJ202011669038;Sudeste/RJ*Volta Redonda;01/01/2020;01/01/2020;09/01/2020;12/01/2020;4395;115.81;450.37;3.86;0;207.18;31
RJ202011707898;Sudeste/RJ*Mesquita;01/01/2020;01/01/2020;05/01/2020;05/01/2020;5085;100.35;3776.15;5.04;0;172.43;17
SP202011446438;Sudeste/SP*Franco da Rocha;01/01/2020;01/01/2020;04/01/2020;04/01/2020;3055;69.17;593.14;6.49;0;127.86;10
SP202011807708;Sudeste/SP*Itapetininga;01/01/2020;01/01/2020;10/01/2020;13/01/2020;2205;111.61;3508.65;12.37;0;200.38;8
SP202012028749;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;06/01/2020;06/01/2020;2115;161.94;2690.5699999999997;6.83;0;292.84;15
SP202011887787;Sudeste/SP*Caraguatatuba;01/01/2020;01/01/2020;07/01/2020;07/01/2020;2335;60.78;892.0;6.43;0;110.31;14
MG202012185925;Sudeste/MG*Divinópolis;01/01/2020;01/01/2020;10/01/2020;11/01/2020;4065;61.48;3248.46;5.65;0;110.97;4
MG202011745072;Sudeste/MG*Uberlândia;01/01/2020;01/01/2020;03/01/2020;03/01/2020;3715;60.92;4772.0;4.98;0;113.86;13
SP202011863413;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;02/01/2020;02/01/2020;2695;73.29;1346.38;9.01;0;133.74;19
SP202011841750;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;09/01/2020;10/01/2020;2415;85.82;5026.02;1.9649999999999999;0;159.51;6
SP202012009254;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;08/01/2020;08/01/2020;2745;98.66;2558.38;5.51;0;174.01;16
RJ202011947854;Sudeste/RJ*Teresópolis;01/01/2020;01/01/2020;07/01/2020;07/01/2020;4735;99.25;2510.26;3.13;0;176.28;16
PR202012129184;Sul/PR*Paranavaí;01/01/2020;01/01/2020;03/01/2020;03/01/2020;5365;105.6;5453.16;3.25;0;180.82;16
RJ202011506212;Sudeste/RJ*Duque de Caxias;01/01/2020;01/01/2020;06/01/2020;06/01/2020;4535;108.44;5320.1;3.73;0;204.21;14
RJ202011706642;Sudeste/RJ*Duque de Caxias;01/01/2020;01/01/2020;11/01/2020;12/01/2020;4365;120.49;5320.1;3.73;0;209.19;6
SP202012342977;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;11/01/2020;12/01/2020;3215;113.78;1195.13;5.7;0;212.28;17
SP202011687252;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;05/01/2020;05/01/2020;3115;120.71;2384.7000000000003;8.57;0;212.51;15
SP202012142052;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;09/01/2020;11/01/2020;2755;117.14;3347.68;2.33;0;218.13;24
RJ202012247604;Sudeste/RJ*Duque de Caxias;01/01/2020;01/01/2020;04/01/2020;04/01/2020;5105;116.28;2009.62;5.89;0;218.16;33
SP202012281426;Sudeste/SP*São Paulo;01/01/2020;01/01/2020;09/01/2020;10/01/2020;3465;132.58;2092.8399999999997;10.82;0;224.71;29
