WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;30/09/2020;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
RJ202012227084;Sudeste/RJ*Volta Redonda;01/09/2020;01/09/2020;08/09/2020;08/09/2020;4365;190.46;2539.75;3.12;0;334.72;7
SP202011928441;Sudeste/SP*São Paulo;01/09/2020;01/09/2020;10/09/2020;13/09/2020;2495;86.08;1342.6200000000001;3.38;0;148.42;21
SP202011821495;Sudeste/SP*Bauru;01/09/2020;01/09/2020;03/09/2020;03/09/2020;2925;118.7;1347.4199999999998;9.77;0;208.98;15
SP202011823050;Sudeste/SP*Campinas;01/09/2020;01/09/2020;05/09/2020;05/09/2020;2425;150.04;1438.99;4.57;0;265.09;40
MG202012289021;Sudeste/MG*Belo Horizonte;01/09/2020;01/09/2020;06/09/2020;06/09/2020;3675;164.99;3291.57;5.44;0;298.35;27
PR202012242775;Sul/PR*Colombo;01/09/2020;01/09/2020;02/09/2020;02/09/2020;5795;120.2;3207.42;9.41;0;226.79;18
SP202011684768;Sudeste/SP*Mogi das Cruzes;01/09/2020;01/09/2020;09/09/2020;12/09/2020;3015;94.57;1118.62;3.87;0;168.88;20
SP202012026775;Sudeste/SP*São Paulo;01/09/2020;01/09/2020;02/09/2020;02/09/2020;2785;91.21;2947.1;2.11;0;165.84;12
SP202011967685;Sudeste/SP*São José do Rio Preto;01/09/2020;01/09/2020;06/09/2020;06/09/2020;3285;83.78;2927.94;24.75;0;146.46;6
SP202011941250;Sudeste/SP*Itapetininga;01/09/2020;01/09/2020;07/09/2020;07/09/2020;2385;109.41;1895.54;6.04;0;192.28;25
PR202012083317;Sul/PR*Curitiba;01/09/2020;01/09/2020;04/09/2020;04/09/2020;5145;78.75;5198.41;7.63;0;145.02;10
MG202012149583;Sudeste/MG*Montes Claros;01/09/2020;01/09/2020;03/09/2020;03/09/2020;3685;100.25;3104.36;2.02;0;181.62;7
