WIP0085 - Relatório Gerencial de Cargas;;;;;;;;;;;;
Data de Extração:;28/02/2024;Hora:;18:00:00;;;;;;;;;
NroPedido;Destino;DataPedido;DataCTE;DataPrevista;DataEntrega;ID_Veiculo;ValorFrete;PesoKg;PesoCubo;OcorrenciaDevolucao;ValorMercadoria;KMViagem
RJ202111821203;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;11/02/2024;12/02/2024;4905;76.04;2490.17;13.99;0;140.29;4
RJ202112301638;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;02/02/2024;02/02/2024;4335;111.43;1448.61;8.98;0;192.79;12
RS202111766527;Sul/RS*Canoas;01/02/2024;01/02/2024;05/02/2024;05/02/2024;6645;199.72;2561.28;3.66;0;189.34;17
SP202111068962;Sudeste/SP*Limeira;01/02/2024;01/02/2024;09/02/2024;11/02/2024;2115;195.75;2284.19;3.34;0;324.22;16
SP202111161030;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;10/02/2024;13/02/2024;3165;143.6;1853.41;8.95;0;247.76;37
SP202110745883;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;07/02/2024;07/02/2024;2055;172.98;2687.25;16.95;0;303.96;46
SP202111184256;Sudeste/SP*São José dos Campos;01/02/2024;01/02/2024;07/02/2024;07/02/2024;2585;152.11;3878.57;10.86;0;261.49;8
SC202112185014;Sul/SC*Lages;01/02/2024;01/02/2024;09/02/2024;12/02/2024;6775;293.9;6021.900000000001;2.64;0;267.18;13
SP202111628355;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;10/02/2024;13/02/2024;2645;87.16;1490.02;8.09;0;141.17;13
RS202111442403;Sul/RS*Canoas;01/02/2024;01/02/2024;07/02/2024;07/02/2024;6465;240.6;2561.28;3.66;0;230.06;25
MG202111569684;Sudeste/MG*Belo Horizonte;01/02/2024;01/02/2024;04/02/2024;04/02/2024;3795;72.12;4561.35;10.13;0;129.25;13
RJ202111484608;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;03/02/2024;03/02/2024;4545;132.76;1448.61;8.98;0;228.51;7
MG202111508224;Sudeste/MG*Pará de Minas;01/02/2024;01/02/2024;05/02/2024;05/02/2024;3905;108.25;2171.47;6.79;0;190.25;10
SC202111886991;Sul/SC*Lages;01/02/2024;01/02/2024;07/02/2024;07/02/2024;6925;284.11;6021.900000000001;2.64;0;240.77;17
RJ202111966907;Sudeste/RJ*Petrópolis;01/02/2024;01/02/2024;10/02/2024;13/02/2024;4845;156.89;2227.73;3.84;0;294.9;21
SP202111604917;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;10/02/2024;11/02/2024;2945;102.24;5141.34;7.97;0;183.37;24
RJ202112143703;Sudeste/RJ*Petrópolis;01/02/2024;01/02/2024;07/02/2024;07/02/2024;4835;68.93;2227.73;3.84;0;119.46;14
RS202111708941;Sul/RS*Santana do Livramento;01/02/2024;01/02/2024;02/02/2024;02/02/2024;6645;104.9;2547.45;28.88;0;102.24;2
RJ202112062208;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;10/02/2024;11/02/2024;4325;61.35;2663.89;5.15;0;104.52;6
MG202111508224;Sudeste/MG*Pará de Minas;01/02/2024;01/02/2024;05/02/2024;05/02/2024;3905;64.29;2171.47;6.79;0;110.28;6
SC202112205101;Sul/SC*Criciúma;01/02/2024;01/02/2024;02/02/2024;02/02/2024;7115;167.31;3406.78;4.39;0;154.63;6
RS202111743293;Sul/RS*Viamão;01/02/2024;01/02/2024;07/02/2024;07/02/2024;6165;173.4;1270.22;3.48;0;166.09;10
RJ202111567136;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;05/02/2024;05/02/2024;5015;93.11;1493.37;8.75;0;169.29;7
SC202111426884;Sul/SC*Lages;01/02/2024;01/02/2024;11/02/2024;13/02/2024;6835;202.44;6021.900000000001;2.64;0;176.96;21
SP202111729831;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;10/02/2024;11/02/2024;2705;106.06;936.79;6.855;0;182.0;5
RJ202111502400;Sudeste/RJ*Petrópolis;01/02/2024;01/02/2024;06/02/2024;06/02/2024;4795;101.19;2227.73;3.84;0;182.66;26
RS202112327317;Sul/RS*Viamão;01/02/2024;01/02/2024;05/02/2024;05/02/2024;6255;191.99;1270.22;3.48;0;186.8;13
SP202111484853;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;02/02/2024;02/02/2024;2785;114.84;1761.63;17.79;0;189.55;4
RS202112281335;Sul/RS*Canoas;01/02/2024;01/02/2024;05/02/2024;05/02/2024;6085;188.95;2561.28;3.66;0;190.51;4
RJ202111484608;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;03/02/2024;03/02/2024;4545;110.71;1448.61;8.98;0;195.25;12
SP202110908468;Sudeste/SP*Franco da Rocha;01/02/2024;01/02/2024;06/02/2024;06/02/2024;2875;120.72;2626.48;19.72;0;197.2;14
PR202112143123;Sul/PR*Pinhais;01/02/2024;01/02/2024;03/02/2024;03/02/2024;5825;173.62;2945.42;8.12;0;214.56;24
SP202110969982;Sudeste/SP*Campinas;01/02/2024;01/02/2024;10/02/2024;11/02/2024;3425;131.09;1802.57;2.05;0;222.55;13
SP202111449688;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;10/02/2024;13/02/2024;2575;127.06;3815.45;5.54;0;227.46;14
SC202112163277;Sul/SC*Criciúma;01/02/2024;01/02/2024;08/02/2024;08/02/2024;6945;267.15;3406.78;4.39;0;230.3;16
RJ202112341469;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;06/02/2024;06/02/2024;4735;129.13;2490.17;13.99;0;233.5;14
SP202110882124;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;04/02/2024;04/02/2024;2055;149.64;3608.03;7.41;0;250.9;23
RS202112327317;Sul/RS*Viamão;01/02/2024;01/02/2024;05/02/2024;05/02/2024;6255;267.4;1270.22;3.48;0;261.08;34
RS202111625302;Sul/RS*Santana do Livramento;01/02/2024;01/02/2024;10/02/2024;12/02/2024;6405;251.05;2547.45;28.88;0;263.16;29
RJ202111447729;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;06/02/2024;06/02/2024;4905;150.96;2663.89;5.15;0;264.84;19
RJ202112289522;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;04/02/2024;04/02/2024;4555;156.67;1493.37;8.75;0;273.9;19
RS202111442562;Sul/RS*Santana do Livramento;01/02/2024;01/02/2024;06/02/2024;06/02/2024;6395;286.43;2547.45;28.88;0;277.71;28
RJ202112346786;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;03/02/2024;03/02/2024;4665;158.03;2663.89;5.15;0;280.2;14
SC202111426884;Sul/SC*Lages;01/02/2024;01/02/2024;11/02/2024;13/02/2024;6835;327.27;6021.900000000001;2.64;0;280.2;8
RJ202111827324;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;08/02/2024;08/02/2024;4325;167.01;1448.61;8.98;0;309.86;31
RJ202111769749;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;09/02/2024;12/02/2024;4385;168.7;2490.17;13.99;0;310.11;16
RS202111644366;Sul/RS*Porto Alegre;01/02/2024;01/02/2024;06/02/2024;06/02/2024;6285;406.3;4977.38;11.35;0;410.4;29
RS202111801380;Sul/RS*Viamão;01/02/2024;01/02/2024;10/02/2024;13/02/2024;6375;431.68;1270.22;3.48;0;417.81;21
MG202111444750;Sudeste/MG*Pará de Minas;01/02/2024;01/02/2024;07/02/2024;07/02/2024;4105;240.8;2171.47;6.79;0;443.47;35
RJ202112403790;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;09/02/2024;10/02/2024;4925;260.05;1493.37;8.75;0;470.25;9
RS202111442562;Sul/RS*Santana do Livramento;01/02/2024;01/02/2024;06/02/2024;06/02/2024;6395;523.74;2547.45;28.88;0;517.73;57
RJ202111565222;Sudeste/RJ*Rio de Janeiro;01/02/2024;01/02/2024;04/02/2024;04/02/2024;4715;310.94;2663.89;5.15;0;532.43;11
RS202111724067;Sul/RS*Porto Alegre;01/02/2024;01/02/2024;10/02/2024;12/02/2024;6575;553.41;4977.38;11.35;0;548.04;66
SP202110641249;Sudeste/SP*São Paulo;01/02/2024;01/02/2024;11/02/2024;12/02/2024;2845;339.13;1438.71;7.15;0;559.76;22
MG202112268273;Sudeste/MG*Belo Horizonte;01/02/2024;01/02/2024;06/02/2024;06/02/2024;3585;330.78;4561.35;10.13;0;561.59;73
SC202112163277;Sul/SC*Criciúma;01/02/2024;01/02/2024;08/02/2024;08/02/2024;6945;625.74;3406.78;4.39;0;569.89;68
RS202112281335;Sul/RS*Canoas;01/02/2024;01/02/2024;05/02/2024;05/02/2024;6085;595.03;2561.28;3.66;0;616.74;12
